"","ID","INSPECTION_NUMBER","CATEGORY","SUBCATEGORY","INSPECTION_DATE","ORIGIN","PORT_OF_ARRIVAL_NAME","PORT_OF_ENTRY_NAME","ARRIVING_AIRLINE_IATA_NAME","ARRIVING_FLIGHT_NUMBER","PORT_LATITUDE","PORT_LONGITUDE","INSPECTION_PATHWAY","FINAL_DESTINATION_NAME","ENTRY_NUMBER","COMMODITY_CLASSIFICATION","COMMODITY_TYPE","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","QUANTITY","QUANTITY_UNITS_NAME","CONSIGNEE_NAME","COMMODITY_ID","CONVEYANCE_ID","WPM_ID","REQUEST_DATETIME","INSPECTOR_NAME","CBP_OFFICER_NAME","INSPECTION_OFFICER","DIAGNOSTIC_REQUEST_ID","INSPECTION_LOCATION_NAME","INSPECTION_LOCATION_STATE_CODE","DR_PATHWAY","DIAGNOSTIC_REQUEST_NUMBER","EVENT_ID","DIAGNOSTIC_PRIORITY","DIAGNOSTIC_REQUEST_STATUS","INSPECTION_AREA","DESTINATION_LOCATION_ID","DESTINATION_LOCATION_NAME","AI_ACCEPTED_CALENDAR_DATE","AI_ACCEPTED_YEAR","AI_ACCEPTED_QUARTER","AI_ACCEPTED_MONTH","AI_ACCEPTED_MONTH_NUMBER","AI_ACCEPTED_BY_FULL_NAME","PEST_TAXON_ID","PEST_TAXONOMIC_NAME","PEST_TAXONOMY_KINGDOM","PEST_TAXONOMY_PHYLUM","PEST_TAXONOMY_CLASS","PEST_TAXONOMY_ORDER","PEST_TAXONOMY_FAMILY","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","DETERMINATION_TYPE","DETERMINED_BY_FULL_NAME","DETERMINED_BY_GROUP_NAME","DETERMINATION_DATETIME","ID_AUTHORITY","NUMBER_ALIVE_ADULTS","NUMBER_ALIVE_CYSTS","NUMBER_ALIVE_EGGS","NUMBER_ALIVE_IMMATURE","NUMBER_ALIVE_PUPAE","NUMBER_DEAD_ADULTS","NUMBER_DEAD_CYSTS","NUMBER_DEAD_EGGS","NUMBER_DEAD_IMMATURE","NUMBER_DEAD_PUPAE","QUARANTINE_RECOMMENDATION_DETERMINED_BY_GROUP_NAME","QUARANTINE_RECOMMENDED_BY_USER_ID","QUARANTINE_RECOMMENDATION_DATETIME","DIAGNOSTIC_TYPE","HOST_TYPE_ID","HOST_TYPE","QUARANTINE_RECOMMENDATION_ID","QUARANTINE_RECOMMENDATION","REGULATORY_DETERMINATION_ID","EXCLUSION_OPTIONS","TREATMENT_SCHEDULE","WHERE_INTERCEPTED_ID","WHERE_INTERCEPTED","REMARKS","HOST_PROXIMITY","HOST_PART_NAME","DETERMINATION_LOCATION_ID","DETERMINATION_LOCATION_NAME","DETERMINATION_LOCATION_STATE","QUARANTINE_STATUS","QUARANTINE_STATUS_MAINLAND","QUARANTINE_STATUS_HAWAII","QUARANTINE_STATUS_PUERTO_RICO","DIAGNOSTIC_DISCIPLINE","DIAGNOSTIC_DETERMINATION_ID","DIAGNOSTIC_DETERMINATION_NOT_POSSIBLE_REASON"
"1",236262,"MDBEL19020006","AQI","PIS","2019-02-11","Germany","JOHN F KENNEDY AIRPORT (4701)","JOHN F KENNEDY AIRPORT (4701)",NA,NA,40.65287,-73.81491,"Airport - Aircraft - Express Carrier - PIS",", ",NA,"Plant","Propagative Material","Prunus sp. - Prunus sp.","Prunus sp.",35,"Plant Units","Foundation Plant Services, UC-Davis",727204,NA,NA,"2019-02-11 16:18:55.0000000","PAUL IJAMS",NA,"PAUL IJAMS",167370,"Beltsville PIS","MD","Airport - Aircraft - Express Carrier - PIS","MDBEL19020006-DR01","MDBEL19020006","Urgent","Diagnostics Completed","PIS - Express Carrier",5003,"USDA Beltsville - Entomology","2019-02-11",2019,"Q1","February",2,"Ijams, Paul",5321,"Aphididae","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA,"Final ID","O'Donnell, Cheryle","National Specialist","2019-02-11 14:33:35.0000000","Earned - Final",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"NIS",78,"2019-02-11 19:41:04.5090000","AQIP",1500,"Commodity/Permitted Organism",5860,"Phytosanitary Action",349918,"Re-export, Destroy, or Treat","T201-a-1",0,"Not Specified",NA,"On","Plant",5003,"USDA Beltsville - Entomology","MD","Quarantine","Quarantine","Quarantine","Quarantine","Entomology",349918,NA
"2",1608883,"5206-10643129","AQI","CBP","2024-02-15","Argentina","MIAMI INTERNATIONAL AIRPORT (5206)","MIAMI INTERNATIONAL AIRPORT (5206)",NA,NA,25.81389,-80.23027,"Airport - Aircraft - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",4876,"Kilograms",NA,3464304,NA,NA,"2024-02-15 17:50:29.6230000"," ","JUDE-MICK LAROCHELLE","JUDE-MICK LAROCHELLE",680622,"MIAMI INTERNATIONAL AIRPORT (5206)","FL","Airport - Aircraft - Cargo - CBP","5206-10643129-DR01","5206-10643129","Prompt","Diagnostics Completed","CBP - Cargo",5003,"USDA Beltsville - Entomology","2024-02-16",2024,"Q1","February",2,"Insinga, Jonas",5664,"Diaspididae","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae",NA,NA,"Final ID","Insinga, Jonas","Area Identifier","2024-02-16 05:00:00.0000000","Conferred - Regulatory ID",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Area Identifier",44416,"2024-02-16 13:44:33.5460000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",1432520,NA,NA,0,"Not Specified","PRN: 208220; LOC: AMERICAN AIRLINES; BROKER: ADVANCE CUSTOMS BROKERS; QTY: 576 PCS","With","Fruit",70005,"Miami PIS","FL","Quarantine","Quarantine","Quarantine","Quarantine","Entomology",1432520,NA
"3",359595,"3801-1728331","AQI","CBP","2017-07-11","Afghanistan","DETROIT, MI (3801)","DETROIT, MI (3801)",NA,NA,42.31428,-83.08558,"Land Border - Truck - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",1057,"Each",NA,1219120,NA,NA,"2017-07-11 23:00:00.0000000"," ","TIMOTHY D HOULE","TIMOTHY D HOULE",272518,"DETROIT, MI (3801)","MI","Land Border - Truck - Cargo - CBP","3801-1728331-DR01","3801-1728331","Urgent","Diagnostics Completed","CBP - Cargo",7790,"Romulus","2017-07-13",2017,"Q3","July",7,"Zablotny, James",7584,"Plodia interpunctella (HÃ¼bner) (Pyralidae)","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Plodia","interpunctella","Final ID","Zablotny, James","Area Identifier","2017-07-13 00:00:00.0000000","Earned - Final",NA,NA,NA,5,NA,NA,NA,NA,0,NA,"Area Identifier",551,"2017-07-13 09:31:43.3630000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",584650,"Not Specified",NA,5851,"General Cargo",NA,"On","Dried Fruit",7790,"Romulus","MI","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Entomology",584650,NA
"4",2145111,"MDBEL25020014","AQI","PIS","2025-02-21","Netherlands","DHL COURIER CINCINNATI (4197)","DHL COURIER CINCINNATI (4197)",NA,NA,39.044136,-84.6185,"Airport - Aircraft - Express Carrier - PIS",", ",NA,"Plant","Propagative Material","Prunus sp. - Prunus sp.","Prunus sp.",10,"Plant Units","Foundation Plant Services, UC-Davis",4259287,NA,NA,"2025-02-21 16:22:16.9370000","BRANDON FISH",NA,"BRANDON FISH",799959,"Beltsville PIS","MD","Airport - Aircraft - Express Carrier - PIS","MDBEL25020014-DR02","MDBEL25020014","Urgent","Diagnostics Completed","PIS - Express Carrier",70011,"Linden PIS","2025-02-24",2025,"Q1","February",2,"Margina, Ana",32339,"Cupressus sp. (Cupressaceae)","Plantae",NA,"Pinopsida","Pinales","Cupressaceae","Cupressus",NA,"Final ID","Margina, Ana","Area Identifier","2025-02-24 05:00:00.0000000","Earned - Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Area Identifier",26,"2025-02-24 16:52:55.8560000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",1694579,NA,NA,0,"Not Specified",NA,"On","Cutting",70011,"Linden PIS","NJ","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Botany",1694579,NA
"5",2145111,"MDBEL25020014","AQI","PIS","2025-02-21","Netherlands","DHL COURIER CINCINNATI (4197)","DHL COURIER CINCINNATI (4197)",NA,NA,39.044136,-84.6185,"Airport - Aircraft - Express Carrier - PIS",", ",NA,"Plant","Propagative Material","Prunus sp. - Prunus sp.","Prunus sp.",10,"Plant Units","Foundation Plant Services, UC-Davis",4259287,NA,NA,"2025-02-21 16:21:01.6800000","BRANDON FISH",NA,"BRANDON FISH",799958,"Beltsville PIS","MD","Airport - Aircraft - Express Carrier - PIS","MDBEL25020014-DR01","MDBEL25020014","Urgent","Diagnostics Completed","PIS - Express Carrier",70011,"Linden PIS","2025-02-24",2025,"Q1","February",2,"Kharboutli, Marwan",5811,"Hemiberlesia lataniae (Signoret) (Diaspididae)","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","Hemiberlesia","lataniae","Final ID","Kharboutli, Marwan","Area Identifier","2025-02-24 05:00:00.0000000","Earned - Final",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Area Identifier",23,"2025-02-24 16:52:56.6050000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",1694580,NA,NA,0,"Not Specified",NA,"On","Cutting",70011,"Linden PIS","NJ","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Entomology",1694580,NA
"6",63258,"1703-5720876","AQI","CBP","2020-08-06","Netherlands","SAVANNAH, GA (1703)","SAVANNAH, GA (1703)",NA,NA,32.0808,-81.09093,"Maritime Port - Vessel - Cargo - CBP",", ",NA,"Plant","Logs","Prunus sp. - Prunus sp.","Prunus sp.",1590,"Each",NA,92107,NA,NA,"2020-08-06 04:00:00.0000000"," ","MD R ISLAM","MD R ISLAM",39917,"SAVANNAH, GA (1703)","GA","Maritime Port - Vessel - Cargo - CBP","1703-5720876-DR01","1703-5720876","Urgent","Diagnostics Completed","CBP - Cargo",7884,"Charleston","2020-08-11",2020,"Q3","August",8,"Coots, Carla",8327,"Isopoda","Animalia","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,"Final ID","Coots, Carla","Area Identifier","2020-08-11 04:00:00.0000000","Conferred - Final",1,NA,NA,NA,NA,0,NA,NA,NA,NA,"Area Identifier",156,"2020-08-11 10:52:27.1160000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",66205,NA,NA,5851,"General Cargo","Commodity: LOG ( unknown sp.)","With","Stem",7884,"Charleston","SC","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Entomology",66205,NA
"7",2311692,"4197-11964340","AQI","CBP","2025-06-11","Lao PDR","DHL COURIER CINCINNATI (4197)","DHL COURIER CINCINNATI (4197)",NA,NA,39.044136,-84.6185,"Airport - Aircraft - Express Carrier - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",0.43,"Kilograms",NA,4516808,NA,NA,"2025-06-11 09:57:01.9440000"," ","TRACEY E LITTLE","TRACEY E LITTLE",838814,"DHL COURIER CINCINNATI (4197)","OH","Airport - Aircraft - Express Carrier - CBP","4197-11964340-DR01","4197-11964340","Urgent","Diagnostics Completed","CBP - Express Carrier",70011,"Linden PIS","2025-06-17",2025,"Q2","June",6,"Kharboutli, Marwan",3236,"Bactrocera sp. (Tephritidae)","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Bactrocera",NA,"Final ID","Kharboutli, Marwan","Area Identifier","2025-06-16 04:00:00.0000000","Earned - Final",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"Area Identifier",23,"2025-06-17 00:58:13.9500000","AQIP",1500,"Commodity/Permitted Organism",5860,"Phytosanitary Action",1784143,"Re-export, Destroy, or Treat","T108-a",0,"Not Specified","Live fruit fly larvae found infesting fresh plums from Laos.","In","Fruit",70011,"Linden PIS","NJ","Quarantine","Quarantine","Quarantine","Quarantine","Entomology",1784143,NA
"8",647659,"WASEA22010009","AQI","PIS","2022-01-13","Netherlands","SEATTLE, WA (3001)","SEATTLE, WA (3001)",NA,NA,47.60549,-122.33537,"Airport - Aircraft - Express Carrier - PIS",", ",NA,"Plant","Propagative Material","Prunus salicina - Prunus salicina","Prunus salicina",10,"Plant Units","Brandt's Fruit Trees Inc.",1960282,NA,NA,"2022-01-13 23:46:03.0500000","RICKY CORDER",NA,"RICKY CORDER",426117,"Seattle PIS","WA","Airport - Aircraft - Express Carrier - PIS","WASEA22010009-DR01","WASEA22010009","Urgent","Diagnostics Completed","PIS - Express Carrier",70016,"Seattle PIS","2022-01-13",2022,"Q1","January",1,"Minnis, Andrew",9889,"Cladosporium sp. (Cladosporiaceae)","Fungi",NA,"Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA,"Final ID","Minnis, Andrew","Area Identifier","2022-01-13 08:00:00.0000000","Earned - Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Area Identifier",177,"2022-01-13 23:49:58.0250000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",907210,NA,NA,0,"Not Specified",NA,"On","Plant",70016,"Seattle PIS","WA","Quarantine","Quarantine","Quarantine","Quarantine","Plant Pathology",907210,"Secondary Infection"
"9",1648780,"2709-10734660","AQI","CBP","2024-03-12","Chile","LONG BEACH, CA (2709)","LONG BEACH, CA (2709)",NA,NA,33.76692,-118.18895,"Maritime Port - Vessel - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",17696,"Kilograms",NA,3530303,NA,NA,"2024-03-12 22:08:33.2650000"," ","WAI YIN CHIU","WAI YIN CHIU",690407,"LONG BEACH, CA (2709)","CA","Maritime Port - Vessel - Cargo - CBP","2709-10734660-DR01","2709-10734660","Urgent","Diagnostics Completed","CBP - Cargo",7839,"Long Beach","2024-03-13",2024,"Q1","March",3,"Maller, Liana",2836,"Corylophidae","Animalia","Arthropoda","Insecta","Coleoptera","Corylophidae",NA,NA,"Final ID","Maller, Liana","Area Identifier","2024-03-13 07:00:00.0000000","Conferred - Final",NA,NA,NA,1,NA,NA,NA,NA,NA,1,"Area Identifier",322,"2024-03-13 16:08:05.3550000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",1452579,NA,NA,0,"Not Specified","Entry# NM2-22577865
Container# SEGU9695802
Pest found near the stem. Please determine viability.","With","Fruit",7839,"Long Beach","CA","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Entomology",1452579,NA
"10",1690483,"4601-10824573","AQI","CBP","2024-04-10","South Africa","NEW YORK/NEWARK AREA (4601)","NEW YORK/NEWARK AREA (4601)",NA,NA,40.73591,-74.16594,"Maritime Port - Vessel - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",24739,"Kilograms",NA,3592903,NA,NA,"2024-04-10 21:59:16.8990000"," ","SANGITA LIMBACHIA","SANGITA LIMBACHIA",700012,"NEW YORK/NEWARK AREA (4601)","NJ","Maritime Port - Vessel - Cargo - CBP","4601-10824573-DR01","4601-10824573","Urgent","Diagnostics Completed","CBP - Cargo",70011,"Linden PIS","2024-04-12",2024,"Q2","April",4,"Burns, Mary",3247,"Ceratitis capitata (Wiedemann)  (Tephritidae)","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Ceratitis","capitata","Final ID","Zhang, Jianxin","Area Identifier","2024-04-12 04:00:00.0000000","Earned - Final",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Area Identifier",42,"2024-04-12 13:10:02.2350000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",1474547,NA,NA,0,"Not Specified",NA,"In","Fruit",70011,"Linden PIS","NJ","Quarantine","Quarantine","Uncategorized","Uncategorized","Entomology",1474547,NA
"11",238102,"5206-3318708","AQI","CBP","2019-02-02","Netherlands","MIAMI INTERNATIONAL AIRPORT (5206)","MIAMI INTERNATIONAL AIRPORT (5206)",NA,NA,25.81389,-80.23027,"Airport - Aircraft - Cargo - CBP",", ",NA,"Plant","Cut Flowers & Greenery","Prunus sp. - Prunus","Prunus sp.",3,"Each",NA,738010,NA,NA,"2019-02-02 04:00:00.0000000"," ","MICHAEL C GILSON","MICHAEL C GILSON",168927,"MIAMI INTERNATIONAL AIRPORT (5206)","FL","Airport - Aircraft - Cargo - CBP","5206-3318708-DR01","5206-3318708","Urgent","Diagnostics Completed","CBP - Cargo",5009,"USDA Beltsville - Plant Pathology","2019-02-03",2019,"Q1","February",2,"Gavito-Hernandez, Maria",9786,"Fungi","Fungi",NA,NA,NA,NA,NA,NA,"Final ID","McKemy, John","National Specialist","2019-02-05 11:53:58.0000000","Earned - Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIS",0,"2019-02-05 16:54:17.8530000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",353358,NA,NA,5852,"Permit Cargo","LOC: AMERICAN AIRLINES  PRN: 146303  BRK: GUY LICHTENSTEIN
** Commodity also being pending Refuse Entry)","With","Flower",5009,"USDA Beltsville - Plant Pathology","MD","Quarantine","Quarantine","Quarantine","Quarantine","Plant Pathology",353358,"No pathogen found"
"12",88648,"4909-5081910","AQI","CBP","2020-04-07","Chile","SAN JUAN, PR (4909)","SAN JUAN, PR (4909)",NA,NA,18.46615,-66.11482,"Maritime Port - Vessel - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",23490,"Kilograms","SUPERMERCADOS ECONO INC., SABANA ABAJO INDUSTRIAL PARK, 1428, CALLE RIO DANUBIO CAROLINA, PR 00983-1728. PUERTO RICO, 1-7876204630    TELEX 1-78762046",186468,NA,NA,"2020-04-07 04:00:00.0000000"," ","DANIEL DOMINGUEZ","DANIEL DOMINGUEZ",56324,"SAN JUAN, PR (4909)","PR","Maritime Port - Vessel - Cargo - CBP","4909-5081910-DR01","4909-5081910","Urgent","Diagnostics Completed","CBP - Cargo",5003,"USDA Beltsville - Entomology","2020-04-08",2020,"Q2","April",4,"Nieves Lopez, Nisael",6172,"Pseudococcus sp. (Pseudococcidae)","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Pseudococcus",NA,"Final ID","Evans, Gregory","National Specialist","2020-04-08 04:00:00.0000000","Earned - Final",NA,NA,NA,3,NA,NA,NA,NA,0,NA,"NIS",2704,"2020-04-08 18:30:32.9530000","AQIP",1500,"Commodity/Permitted Organism",5860,"Phytosanitary Action",102884,"Re-export, Destroy, or Treat","T104-a-2",5852,"Permit Cargo","IPPC: 07111 HT
PSEUDOCOCCIDAES WERE FOUND ON PLUM.","On","Fruit",5003,"USDA Beltsville - Entomology","MD","Quarantine","Quarantine","Quarantine","Quarantine","Entomology",102884,NA
"13",173017,"2608-4523112","AQI","CBP","2019-10-09","Mexico","SAN LUIS, AZ (2608)","SAN LUIS, AZ (2608)",NA,NA,32.49551,-114.70641,"Land Border - Truck - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",5096,"Kilograms",NA,485140,NA,NA,"2019-10-09 04:00:00.0000000"," ","LUIS C LASTRA","LUIS C LASTRA",117163,"SAN LUIS, AZ (2608)","AZ","Land Border - Truck - Cargo - CBP","2608-4523112-DR02","2608-4523112","Urgent","Diagnostics Completed","CBP - Cargo",7662,"Yuma","2019-10-10",2019,"Q4","October",10,"Vitanza-Hedman, Salvador",2973,"Oryzaephilus sp. (Silvanidae)","Animalia","Arthropoda","Insecta","Coleoptera","Silvanidae","Oryzaephilus",NA,"Final ID","Vitanza-Hedman, Salvador","Area Identifier","2019-10-10 09:20:05.0000000","Conferred - Final",1,NA,NA,NA,NA,0,NA,NA,NA,NA,"Area Identifier",893,"2019-10-10 16:21:42.2170000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",238373,NA,NA,5852,"Permit Cargo","DRIED PLUMS","On","Fruit",7662,"Yuma","AZ","Non-Quarantine","Non-Quarantine","Non-Quarantine","Non-Quarantine","Entomology",238373,NA
"14",173017,"2608-4523112","AQI","CBP","2019-10-09","Mexico","SAN LUIS, AZ (2608)","SAN LUIS, AZ (2608)",NA,NA,32.49551,-114.70641,"Land Border - Truck - Cargo - CBP",", ",NA,"Plant","Fresh Fruits & Vegetables","Prunus domestica - PLUM","Prunus domestica",5096,"Kilograms",NA,485140,NA,NA,"2019-10-09 04:00:00.0000000"," ","LUIS C LASTRA","LUIS C LASTRA",117165,"SAN LUIS, AZ (2608)","AZ","Land Border - Truck - Cargo - CBP","2608-4523112-DR03","2608-4523112","Urgent","Diagnostics Completed","CBP - Cargo",7662,"Yuma","2019-10-10",2019,"Q4","October",10,"Vitanza-Hedman, Salvador",2377,"Metoponium sp. (Tenebrionidae)","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Metoponium",NA,"Final ID","Vitanza-Hedman, Salvador","Area Identifier","2019-10-10 09:22:59.0000000","Earned - Final",1,NA,NA,NA,NA,0,NA,NA,NA,NA,"Area Identifier",893,"2019-10-10 16:23:21.0450000","AQIP",1500,"Commodity/Permitted Organism",5861,"No Phytosanitary Action",238377,NA,NA,5852,"Permit Cargo","DRIED PLUMS","On","Fruit",7662,"Yuma","AZ","Quarantine","Quarantine","Quarantine","Quarantine","Entomology",238377,NA
